pantone_name,fixed_id,corel_palette_version,process,cmyk_c_percent,cmyk_m_percent,cmyk_y_percent,cmyk_k_percent,cmyk_corel_raw,lab_corel_raw,srgb_r_0_255,srgb_g_0_255,srgb_b_0_255,hex_from_corel_srgb,srgb_corel_raw,adobe_rgb_corel_raw,source_xml,source_file_timestamp
PANTONE 259 CP,519,1700,true,64.0,100.0,0.0,7.0,"0.64,1.0,0.0,0.07","0.2946,0.669882352941176,0.375647058823529",110,35,121,#6E2379,"0.431372549019608,0.137254901960784,0.474509803921569","0.376470588235294,0.152941176470588,0.462745098039216",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 260 CP,520,1700,true,60.0,100.0,0.0,22.0,"0.6,1.0,0.0,0.22","0.2842,0.643254901960784,0.401529411764706",102,41,108,#66296C,"0.4,0.16078431372549,0.423529411764706","0.352941176470588,0.176470588235294,0.415686274509804",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 261 CP,521,1700,true,60.0,100.0,0.0,31.0,"0.6,1.0,0.0,0.31","0.2847,0.620509803921569,0.413843137254902",96,47,103,#602F67,"0.376470588235294,0.184313725490196,0.403921568627451","0.337254901960784,0.2,0.396078431372549",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 262 CP,522,1700,true,58.0,96.0,6.0,49.0,"0.58,0.96,0.06,0.49","0.2652,0.597686274509804,0.442705882352941",88,48,86,#583056,"0.345098039215686,0.188235294117647,0.337254901960784","0.313725490196078,0.2,0.337254901960784",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 2563 CP,523,1700,true,18.0,38.0,0.0,0.0,"0.18,0.38,0.0,0.0","0.7048,0.585647058823529,0.450352941176471",200,159,197,#C89FC5,"0.784313725490196,0.623529411764706,0.772549019607843","0.737254901960784,0.619607843137255,0.76078431372549",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 2573 CP,524,1700,true,28.0,52.0,0.0,0.0,"0.28,0.52,0.0,0.0","0.6278,0.601843137254902,0.432627450980392",182,136,184,#B688B8,"0.713725490196078,0.533333333333333,0.72156862745098","0.662745098039216,0.529411764705882,0.709803921568627",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 2583 CP,525,1700,true,42.0,71.0,0.0,0.0,"0.42,0.71,0.0,0.0","0.5223,0.629137254901961,0.413058823529412",161,104,164,#A168A4,"0.631372549019608,0.407843137254902,0.643137254901961","0.572549019607843,0.403921568627451,0.631372549019608",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 2593 CP,526,1700,true,59.0,94.0,0.0,0.0,"0.59,0.94,0.0,0.0","0.3875,0.662745098039216,0.383333333333333",133,61,142,#853D8E,"0.52156862745098,0.23921568627451,0.556862745098039","0.458823529411765,0.250980392156863,0.541176470588235",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 2603 CP,527,1700,true,66.0,100.0,0.0,4.0,"0.66,1.0,0.0,0.04","0.316,0.682,0.370549019607843",119,36,129,#772481,"0.466666666666667,0.141176470588235,0.505882352941176","0.403921568627451,0.156862745098039,0.490196078431373",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 2613 CP,528,1700,true,68.0,100.0,0.0,8.0,"0.68,1.0,0.0,0.08","0.2955,0.668156862745098,0.373254901960784",109,36,122,#6D247A,"0.427450980392157,0.141176470588235,0.47843137254902","0.372549019607843,0.156862745098039,0.466666666666667",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 2623 CP,529,1700,true,66.0,100.0,0.0,20.0,"0.66,1.0,0.0,0.2","0.2684,0.651176470588235,0.388862745098039",99,35,109,#63236D,"0.388235294117647,0.137254901960784,0.427450980392157","0.341176470588235,0.152941176470588,0.419607843137255",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7660 CP,530,1700,true,38.0,37.0,13.0,4.0,"0.38,0.37,0.13,0.04","0.6052,0.530117647058824,0.466705882352941",151,143,161,#978FA1,"0.592156862745098,0.56078431372549,0.631372549019608","0.576470588235294,0.552941176470588,0.623529411764706",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7661 CP,531,1700,true,44.0,58.0,5.0,5.0,"0.44,0.58,0.05,0.05","0.5099,0.577764705882353,0.435843137254902",141,111,150,#8D6F96,"0.552941176470588,0.435294117647059,0.588235294117647","0.517647058823529,0.431372549019608,0.580392156862745",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7662 CP,532,1700,true,56.0,86.0,0.0,3.0,"0.56,0.86,0.0,0.03","0.3993,0.626549019607843,0.402470588235294",126,74,136,#7E4A88,"0.494117647058824,0.290196078431373,0.533333333333333","0.443137254901961,0.294117647058824,0.52156862745098",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7663 CP,533,1700,true,64.0,100.0,0.0,9.0,"0.64,1.0,0.0,0.09","0.3261,0.641019607843137,0.388901960784314",110,52,123,#6E347B,"0.431372549019608,0.203921568627451,0.482352941176471","0.384313725490196,0.215686274509804,0.470588235294118",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7664 CP,534,1700,true,69.0,100.0,0.0,7.0,"0.69,1.0,0.0,0.07","0.314,0.630352941176471,0.382627450980392",102,52,123,#66347B,"0.4,0.203921568627451,0.482352941176471","0.36078431372549,0.215686274509804,0.470588235294118",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7665 CP,535,1700,true,67.0,92.0,3.0,19.0,"0.67,0.92,0.03,0.19","0.3173,0.608039215686275,0.405607843137255",99,58,114,#633A72,"0.388235294117647,0.227450980392157,0.447058823529412","0.352941176470588,0.23921568627451,0.43921568627451",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
